id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,
AGO,3000,3000,,,,,,,,,,,,,,,,,,,,
ALB,12000,16000,,,,,955000,1303000,1350000,1694000,2097000,2616000,2979000,3716000,3404000,3443000,4120000,3959000,3928000,4146000,4504000,
AND,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,
ARG,3815000,4296000,4517000,4592000,4786000,4953000,4762000,3008000,3088000,3904000,3894000,3892000,4167000,4614000,4981000,5307000,6686000,7266000,6746000,6517000,7807000,10297000
ARM,,,,,,111000,110000,131000,169000,221000,269000,329000,468000,516000,526000,563000,715000,965000,1083000,1198000,1187000,
ASM,,,,,,,,,,,,,,,,,,,,,,
ATG,386000,369000,,,,,,,,,,,,,,,,,,,,
AUS,2519000,2732000,2933000,3161000,3210000,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,8768000,9114000,9459000,
AUT,,,,,,7528000,8350000,8266000,8384000,8371000,8206000,10042000,9876000,9677000,10121000,9882000,9874000,10960000,10671000,10994000,10628000,
AZE,,432000,654000,1146000,1204000,1326000,1130000,1141000,1475000,1473000,1830000,1836000,1631000,2162000,2363000,3176000,3550000,3874000,4285000,4244000,4096000,
BDI,36000,35000,10000,16000,27000,28000,35000,,,,,,,,,,,,,,,
BEL,,5645000,7548000,7776000,6410000,7932000,6570000,6773000,7268000,8783000,9327000,7852000,8371000,8887000,8775000,8801000,9727000,9576000,10803000,10991000,10835000,
BEN,,,,,,,,,,,,,,,,,,,,,,
BFA,,,,,,,,,,,,,,,,,,,,,,
BGD,830000,911000,866000,992000,1103000,1128000,1075000,1158000,1414000,1565000,1767000,1819000,2327000,875000,2254000,1913000,2127000,2273000,1460000,,,
BGR,3524000,3006000,3059000,2592000,2376000,2337000,2730000,3188000,3403000,3882000,4235000,4180000,4515000,5727000,4993000,3676000,3803000,3758000,3930000,4158000,4632000,
BHR,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,
BLR,626000,703000,969000,901000,934000,1289000,1387000,1436000,1108000,515000,572000,525000,517000,380000,316000,415000,320000,493000,708000,741000,671000,
BLZ,,,,,,,,,,,,,,,,,,,,,,
BMU,,,,,,,140000,145000,141000,156000,161000,170000,181000,192000,,,,,,,,
BOL,249000,269000,285000,299000,253000,201000,222000,217000,304000,346000,386000,472000,526000,589000,518000,604000,775000,788000,837000,932000,965000,
BRA,2600000,3797000,4014000,4171000,2863000,3228000,2674000,2338000,3229000,2968000,3364000,3886000,4662000,5238000,4920000,6457000,7807000,8512000,8870000,9622000,9469000,
BRB,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,
